repo,default_branch,path,filename,suffix,size_bytes,github_blob_url,raw_url,hrsm_tags
Steven-Kemp/sequence_files,main,nanopore/NB01_CAMB-1B5124_ARTIC_nanopolish.fasta.gz,NB01_CAMB-1B5124_ARTIC_nanopolish.fasta.gz,.gz,8953,https://api.github.com/repos/Steven-Kemp/sequence_files/git/blobs/b8870151d0dc199360096e1a21ec9513dbcdf841,https://raw.githubusercontent.com/Steven-Kemp/sequence_files/main/nanopore/NB01_CAMB-1B5124_ARTIC_nanopolish.fasta.gz,read_or_alignment_like
Steven-Kemp/sequence_files,main,nanopore/NB01_CAMB-1B5ADE_ARTIC_nanopolish.fasta.gz,NB01_CAMB-1B5ADE_ARTIC_nanopolish.fasta.gz,.gz,8781,https://api.github.com/repos/Steven-Kemp/sequence_files/git/blobs/f825ab2745fbee29bb42bc84995f6804ef641d3f,https://raw.githubusercontent.com/Steven-Kemp/sequence_files/main/nanopore/NB01_CAMB-1B5ADE_ARTIC_nanopolish.fasta.gz,read_or_alignment_like
Steven-Kemp/sequence_files,main,nanopore/NB01_CAMB-1B5BDB_ARTIC_nanopolish.fasta.gz,NB01_CAMB-1B5BDB_ARTIC_nanopolish.fasta.gz,.gz,8952,https://api.github.com/repos/Steven-Kemp/sequence_files/git/blobs/29acb8392d9233f3e59405019c8ccb23eed50f64,https://raw.githubusercontent.com/Steven-Kemp/sequence_files/main/nanopore/NB01_CAMB-1B5BDB_ARTIC_nanopolish.fasta.gz,read_or_alignment_like
Steven-Kemp/sequence_files,main,nanopore/NB02_CAMB-1B5BCC_ARTIC_nanopolish.fasta.gz,NB02_CAMB-1B5BCC_ARTIC_nanopolish.fasta.gz,.gz,8958,https://api.github.com/repos/Steven-Kemp/sequence_files/git/blobs/6f47e8392a8ab660020223e8b6ddc18786e7ce52,https://raw.githubusercontent.com/Steven-Kemp/sequence_files/main/nanopore/NB02_CAMB-1B5BCC_ARTIC_nanopolish.fasta.gz,read_or_alignment_like
Steven-Kemp/sequence_files,main,nanopore/NB05_CAMB-1B55FB_ARTIC_nanopolish.fasta.gz,NB05_CAMB-1B55FB_ARTIC_nanopolish.fasta.gz,.gz,8956,https://api.github.com/repos/Steven-Kemp/sequence_files/git/blobs/38f65a04bf5821015068b3cb3071a9a10a37a6fd,https://raw.githubusercontent.com/Steven-Kemp/sequence_files/main/nanopore/NB05_CAMB-1B55FB_ARTIC_nanopolish.fasta.gz,read_or_alignment_like
Steven-Kemp/sequence_files,main,nanopore/NB06_CAMB-1B55CE_ARTIC_nanopolish.fasta.gz,NB06_CAMB-1B55CE_ARTIC_nanopolish.fasta.gz,.gz,8953,https://api.github.com/repos/Steven-Kemp/sequence_files/git/blobs/10a166350376507e78869abfdd3c9e40ad2e6e10,https://raw.githubusercontent.com/Steven-Kemp/sequence_files/main/nanopore/NB06_CAMB-1B55CE_ARTIC_nanopolish.fasta.gz,read_or_alignment_like
Steven-Kemp/sequence_files,main,nanopore/NB07_CAMB-1B5A29_ARTIC_nanopolish.fasta.gz,NB07_CAMB-1B5A29_ARTIC_nanopolish.fasta.gz,.gz,8942,https://api.github.com/repos/Steven-Kemp/sequence_files/git/blobs/233ef718039a513d2e2294f4995daddaec63a4d7,https://raw.githubusercontent.com/Steven-Kemp/sequence_files/main/nanopore/NB07_CAMB-1B5A29_ARTIC_nanopolish.fasta.gz,read_or_alignment_like
Steven-Kemp/sequence_files,main,nanopore/NB08_CAMB-1B529A_ARTIC_nanopolish.fasta.gz,NB08_CAMB-1B529A_ARTIC_nanopolish.fasta.gz,.gz,8329,https://api.github.com/repos/Steven-Kemp/sequence_files/git/blobs/f7e9c1399d711bb70ab5df85bb2af3c461388c38,https://raw.githubusercontent.com/Steven-Kemp/sequence_files/main/nanopore/NB08_CAMB-1B529A_ARTIC_nanopolish.fasta.gz,read_or_alignment_like
Steven-Kemp/sequence_files,main,nanopore/NB08_CAMB-1B5467_ARTIC_nanopolish.fasta.gz,NB08_CAMB-1B5467_ARTIC_nanopolish.fasta.gz,.gz,8953,https://api.github.com/repos/Steven-Kemp/sequence_files/git/blobs/e9ad046945d39efd4e2f7406c5b368e842eefefe,https://raw.githubusercontent.com/Steven-Kemp/sequence_files/main/nanopore/NB08_CAMB-1B5467_ARTIC_nanopolish.fasta.gz,read_or_alignment_like
Steven-Kemp/sequence_files,main,nanopore/NB09_CAMB-1B5C50_ARTIC_nanopolish.fasta.gz,NB09_CAMB-1B5C50_ARTIC_nanopolish.fasta.gz,.gz,8346,https://api.github.com/repos/Steven-Kemp/sequence_files/git/blobs/e0c0a7d300168f4a24e9cdbde2bd3b70f91efbc1,https://raw.githubusercontent.com/Steven-Kemp/sequence_files/main/nanopore/NB09_CAMB-1B5C50_ARTIC_nanopolish.fasta.gz,read_or_alignment_like
