case_id,run_accession,sample_accession,study_accession,sample_title,scientific_name,instrument_platform,instrument_model,library_layout,library_strategy,read_count,base_count,fastq_ftp,submitted_ftp,bam_ftp,n_fastq_links,n_submitted_links,n_bam_links,has_fastq,has_submitted,has_bam,metadata_usable,needs_day_mapping,needs_case_grouping,download_status
BOYLE_2025_PRJNA1295507,SRR34737034,SAMN50212622,PRJNA1295507,LC-09970,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,63061,25652684,ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/034/SRR34737034/SRR34737034.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/034/SRR34737034/SRR34737034_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/034/SRR34737034/SRR34737034_2.fastq.gz,,,3,0,0,True,False,False,True,True,True,not_downloaded
BOYLE_2025_PRJNA1295507,SRR34737038,SAMN50212648,PRJNA1295507,LC-08020,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,87997,34925792,ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/038/SRR34737038/SRR34737038.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/038/SRR34737038/SRR34737038_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/038/SRR34737038/SRR34737038_2.fastq.gz,,,3,0,0,True,False,False,True,True,True,not_downloaded
BOYLE_2025_PRJNA1295507,SRR34737042,SAMN50212609,PRJNA1295507,LC-05858,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,97768,40285722,ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/042/SRR34737042/SRR34737042.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/042/SRR34737042/SRR34737042_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/042/SRR34737042/SRR34737042_2.fastq.gz,,,3,0,0,True,False,False,True,True,True,not_downloaded
BOYLE_2025_PRJNA1295507,SRR34737044,SAMN50212643,PRJNA1295507,LC-03549,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,108039,41421338,ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/044/SRR34737044/SRR34737044.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/044/SRR34737044/SRR34737044_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/044/SRR34737044/SRR34737044_2.fastq.gz,,,3,0,0,True,False,False,True,True,True,not_downloaded
BOYLE_2025_PRJNA1295507,SRR34737048,SAMN50212616,PRJNA1295507,LC-02659,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,93601,36688702,ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/048/SRR34737048/SRR34737048.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/048/SRR34737048/SRR34737048_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/048/SRR34737048/SRR34737048_2.fastq.gz,,,3,0,0,True,False,False,True,True,True,not_downloaded
BOYLE_2025_PRJNA1295507,SRR34737051,SAMN50212605,PRJNA1295507,LC-07633,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,102080,41655238,ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/051/SRR34737051/SRR34737051.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/051/SRR34737051/SRR34737051_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/051/SRR34737051/SRR34737051_2.fastq.gz,,,3,0,0,True,False,False,True,True,True,not_downloaded
BOYLE_2025_PRJNA1295507,SRR34737012,SAMN50212613,PRJNA1295507,LC-10033,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,90652,38612863,ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/012/SRR34737012/SRR34737012.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/012/SRR34737012/SRR34737012_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/012/SRR34737012/SRR34737012_2.fastq.gz,,,3,0,0,True,False,False,True,True,True,not_downloaded
BOYLE_2025_PRJNA1295507,SRR34737013,SAMN50212608,PRJNA1295507,LC-10955,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,98315,40339560,ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/013/SRR34737013/SRR34737013.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/013/SRR34737013/SRR34737013_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/013/SRR34737013/SRR34737013_2.fastq.gz,,,3,0,0,True,False,False,True,True,True,not_downloaded
BOYLE_2025_PRJNA1295507,SRR34737017,SAMN50212631,PRJNA1295507,LC-11663,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,67639,28191919,ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/017/SRR34737017/SRR34737017.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/017/SRR34737017/SRR34737017_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/017/SRR34737017/SRR34737017_2.fastq.gz,,,3,0,0,True,False,False,True,True,True,not_downloaded
BOYLE_2025_PRJNA1295507,SRR34737019,SAMN50212629,PRJNA1295507,LC-1807,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,147147,30949090,ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/019/SRR34737019/SRR34737019.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/019/SRR34737019/SRR34737019_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/019/SRR34737019/SRR34737019_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/srr/SRR347/019/SRR34737019/LCH1807.trimmed.sorted.bam,,3,1,0,True,True,False,True,True,True,not_downloaded
BOYLE_2025_PRJNA1295507,SRR34737031,SAMN50212607,PRJNA1295507,LC-0953,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,99645,39731200,ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/031/SRR34737031/SRR34737031.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/031/SRR34737031/SRR34737031_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/031/SRR34737031/SRR34737031_2.fastq.gz,,,3,0,0,True,False,False,True,True,True,not_downloaded
BOYLE_2025_PRJNA1295507,SRR34737050,SAMN50212606,PRJNA1295507,LC-07617,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,97164,40090291,ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/050/SRR34737050/SRR34737050.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/050/SRR34737050/SRR34737050_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/050/SRR34737050/SRR34737050_2.fastq.gz,,,3,0,0,True,False,False,True,True,True,not_downloaded
BOYLE_2025_PRJNA1295507,SRR34737037,SAMN50212649,PRJNA1295507,LC-03064,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,70563,25909965,ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/037/SRR34737037/SRR34737037.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/037/SRR34737037/SRR34737037_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/037/SRR34737037/SRR34737037_2.fastq.gz,,,3,0,0,True,False,False,True,True,True,not_downloaded
BOYLE_2025_PRJNA1295507,SRR34737011,SAMN50212614,PRJNA1295507,LC-06074,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,71791,29340890,ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/011/SRR34737011/SRR34737011.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/011/SRR34737011/SRR34737011_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/011/SRR34737011/SRR34737011_2.fastq.gz,,,3,0,0,True,False,False,True,True,True,not_downloaded
BOYLE_2025_PRJNA1295507,SRR34737015,SAMN50212633,PRJNA1295507,LC-11462,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,90546,33487892,ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/015/SRR34737015/SRR34737015.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/015/SRR34737015/SRR34737015_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/015/SRR34737015/SRR34737015_2.fastq.gz,,,3,0,0,True,False,False,True,True,True,not_downloaded
BOYLE_2025_PRJNA1295507,SRR34737021,SAMN50212612,PRJNA1295507,LC-1201,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,94694,35787957,ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/021/SRR34737021/SRR34737021.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/021/SRR34737021/SRR34737021_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/021/SRR34737021/SRR34737021_2.fastq.gz,,,3,0,0,True,False,False,True,True,True,not_downloaded
