run_accession	study_accession	secondary_study_accession	sample_accession	experiment_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_layout	library_strategy	read_count	base_count	fastq_ftp	submitted_ftp	bam_ftp	sample_title	experiment_title
SRR34737034	PRJNA1295507	SRP604007	SAMN50212622	SRX29871223	2697049	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	63061	25652684	ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/034/SRR34737034/SRR34737034.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/034/SRR34737034/SRR34737034_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/034/SRR34737034/SRR34737034_2.fastq.gz			LC-09970	Illumina MiSeq sequencing: SARS-CoV-2 whole genome sequencing from pediatric clinical isolate
SRR34737038	PRJNA1295507	SRP604007	SAMN50212648	SRX29871219	2697049	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	87997	34925792	ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/038/SRR34737038/SRR34737038.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/038/SRR34737038/SRR34737038_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/038/SRR34737038/SRR34737038_2.fastq.gz			LC-08020	Illumina MiSeq sequencing: SARS-CoV-2 whole genome sequencing from pediatric clinical isolate
SRR34737042	PRJNA1295507	SRP604007	SAMN50212609	SRX29871215	2697049	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	97768	40285722	ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/042/SRR34737042/SRR34737042.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/042/SRR34737042/SRR34737042_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/042/SRR34737042/SRR34737042_2.fastq.gz			LC-05858	Illumina MiSeq sequencing: SARS-CoV-2 whole genome sequencing from pediatric clinical isolate
SRR34737044	PRJNA1295507	SRP604007	SAMN50212643	SRX29871213	2697049	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	108039	41421338	ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/044/SRR34737044/SRR34737044.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/044/SRR34737044/SRR34737044_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/044/SRR34737044/SRR34737044_2.fastq.gz			LC-03549	Illumina MiSeq sequencing: SARS-CoV-2 whole genome sequencing from pediatric clinical isolate
SRR34737048	PRJNA1295507	SRP604007	SAMN50212616	SRX29871209	2697049	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	93601	36688702	ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/048/SRR34737048/SRR34737048.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/048/SRR34737048/SRR34737048_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/048/SRR34737048/SRR34737048_2.fastq.gz			LC-02659	Illumina MiSeq sequencing: SARS-CoV-2 whole genome sequencing from pediatric clinical isolate
SRR34737051	PRJNA1295507	SRP604007	SAMN50212605	SRX29871206	2697049	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	102080	41655238	ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/051/SRR34737051/SRR34737051.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/051/SRR34737051/SRR34737051_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/051/SRR34737051/SRR34737051_2.fastq.gz			LC-07633	Illumina MiSeq sequencing: SARS-CoV-2 whole genome sequencing from pediatric clinical isolate
SRR34737012	PRJNA1295507	SRP604007	SAMN50212613	SRX29871245	2697049	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	90652	38612863	ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/012/SRR34737012/SRR34737012.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/012/SRR34737012/SRR34737012_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/012/SRR34737012/SRR34737012_2.fastq.gz			LC-10033	Illumina MiSeq sequencing: SARS-CoV-2 whole genome sequencing from pediatric clinical isolate
SRR34737013	PRJNA1295507	SRP604007	SAMN50212608	SRX29871244	2697049	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	98315	40339560	ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/013/SRR34737013/SRR34737013.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/013/SRR34737013/SRR34737013_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/013/SRR34737013/SRR34737013_2.fastq.gz			LC-10955	Illumina MiSeq sequencing: SARS-CoV-2 whole genome sequencing from pediatric clinical isolate
SRR34737017	PRJNA1295507	SRP604007	SAMN50212631	SRX29871240	2697049	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	67639	28191919	ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/017/SRR34737017/SRR34737017.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/017/SRR34737017/SRR34737017_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/017/SRR34737017/SRR34737017_2.fastq.gz			LC-11663	Illumina MiSeq sequencing: SARS-CoV-2 whole genome sequencing from pediatric clinical isolate
SRR34737019	PRJNA1295507	SRP604007	SAMN50212629	SRX29871238	2697049	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	147147	30949090	ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/019/SRR34737019/SRR34737019.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/019/SRR34737019/SRR34737019_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/019/SRR34737019/SRR34737019_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR347/019/SRR34737019/LCH1807.trimmed.sorted.bam		LC-1807	Illumina MiSeq sequencing: SARS-CoV-2 whole genome sequencing from pediatric clinical isolate
